mode: set
github.com/conneroisu/gpt2/main.go:8.13,10.2 1 0
github.com/conneroisu/gpt2/pkg/model/attention.go:29.2,36.3 1 1
github.com/conneroisu/gpt2/pkg/model/attention.go:50.62,54.13 3 0
github.com/conneroisu/gpt2/pkg/model/attention.go:54.13,56.45 2 0
github.com/conneroisu/gpt2/pkg/model/attention.go:56.45,58.4 1 0
github.com/conneroisu/gpt2/pkg/model/attention.go:62.2,63.28 2 0
github.com/conneroisu/gpt2/pkg/model/attention.go:63.28,66.29 3 0
github.com/conneroisu/gpt2/pkg/model/attention.go:66.29,69.4 2 0
github.com/conneroisu/gpt2/pkg/model/attention.go:70.3,70.29 1 0
github.com/conneroisu/gpt2/pkg/model/attention.go:70.29,72.4 1 0
github.com/conneroisu/gpt2/pkg/model/attention.go:73.3,73.19 1 0
github.com/conneroisu/gpt2/pkg/model/attention.go:77.2,79.15 3 0
github.com/conneroisu/gpt2/pkg/model/attention.go:83.94,92.22 9 0
github.com/conneroisu/gpt2/pkg/model/attention.go:92.22,97.3 4 0
github.com/conneroisu/gpt2/pkg/model/attention.go:98.2,102.28 5 0
github.com/conneroisu/gpt2/pkg/model/blocks.go:13.59,20.2 1 0
github.com/conneroisu/gpt2/pkg/model/blocks.go:23.90,29.2 5 0
github.com/conneroisu/gpt2/pkg/model/convolution.go:18.36,20.26 2 1
github.com/conneroisu/gpt2/pkg/model/convolution.go:20.26,21.27 1 1
github.com/conneroisu/gpt2/pkg/model/convolution.go:21.27,24.4 1 1
github.com/conneroisu/gpt2/pkg/model/convolution.go:26.2,27.60 2 1
github.com/conneroisu/gpt2/pkg/model/convolution.go:31.51,35.49 4 0
github.com/conneroisu/gpt2/pkg/model/convolution.go:35.49,37.3 1 0
github.com/conneroisu/gpt2/pkg/model/convolution.go:38.2,38.15 1 0
github.com/conneroisu/gpt2/pkg/model/heads.go:12.57,17.31 5 0
github.com/conneroisu/gpt2/pkg/model/heads.go:17.31,18.29 1 0
github.com/conneroisu/gpt2/pkg/model/heads.go:18.29,19.38 1 0
github.com/conneroisu/gpt2/pkg/model/heads.go:19.38,21.5 1 0
github.com/conneroisu/gpt2/pkg/model/heads.go:24.2,24.15 1 0
github.com/conneroisu/gpt2/pkg/model/heads.go:70.65,78.8 6 1
github.com/conneroisu/gpt2/pkg/model/heads.go:78.8,80.29 1 1
github.com/conneroisu/gpt2/pkg/model/heads.go:80.29,81.33 1 1
github.com/conneroisu/gpt2/pkg/model/heads.go:81.33,82.35 1 1
github.com/conneroisu/gpt2/pkg/model/heads.go:82.35,84.6 1 1
github.com/conneroisu/gpt2/pkg/model/heads.go:87.8,89.29 1 1
github.com/conneroisu/gpt2/pkg/model/heads.go:89.29,90.33 1 1
github.com/conneroisu/gpt2/pkg/model/heads.go:90.33,91.35 1 1
github.com/conneroisu/gpt2/pkg/model/heads.go:91.35,93.6 1 1
github.com/conneroisu/gpt2/pkg/model/heads.go:98.2,98.15 1 1
github.com/conneroisu/gpt2/pkg/model/mlp.go:12.45,18.2 1 0
github.com/conneroisu/gpt2/pkg/model/mlp.go:21.48,24.2 2 0
github.com/conneroisu/gpt2/pkg/model/model.go:26.45,30.37 4 0
github.com/conneroisu/gpt2/pkg/model/model.go:30.37,32.3 1 0
github.com/conneroisu/gpt2/pkg/model/model.go:33.2,41.3 1 0
github.com/conneroisu/gpt2/pkg/model/model.go:45.111,62.28 9 0
github.com/conneroisu/gpt2/pkg/model/model.go:62.28,66.3 3 0
github.com/conneroisu/gpt2/pkg/model/model.go:69.2,71.31 2 0
github.com/conneroisu/gpt2/pkg/model/normal.go:12.36,21.51 5 1
github.com/conneroisu/gpt2/pkg/model/normal.go:21.51,23.3 1 1
github.com/conneroisu/gpt2/pkg/model/normal.go:25.2,25.15 1 1
github.com/conneroisu/gpt2/pkg/model/normal.go:35.59,37.34 2 0
github.com/conneroisu/gpt2/pkg/model/normal.go:37.34,39.3 1 0
github.com/conneroisu/gpt2/pkg/model/normal.go:40.2,41.69 2 0
github.com/conneroisu/gpt2/pkg/model/normal.go:45.55,48.42 3 0
github.com/conneroisu/gpt2/pkg/model/normal.go:48.42,50.3 1 0
github.com/conneroisu/gpt2/pkg/model/normal.go:51.2,51.42 1 0
github.com/conneroisu/gpt2/pkg/model/normal.go:51.42,53.43 2 0
github.com/conneroisu/gpt2/pkg/model/normal.go:53.43,56.4 2 0
github.com/conneroisu/gpt2/pkg/model/normal.go:57.3,57.54 1 0
github.com/conneroisu/gpt2/pkg/model/normal.go:60.2,60.42 1 0
github.com/conneroisu/gpt2/pkg/model/normal.go:60.42,61.43 1 0
github.com/conneroisu/gpt2/pkg/model/normal.go:61.43,63.4 1 0
github.com/conneroisu/gpt2/pkg/model/normal.go:65.2,65.44 1 0
github.com/conneroisu/gpt2/pkg/model/normal.go:65.44,67.3 1 0
github.com/conneroisu/gpt2/pkg/model/normal.go:68.2,68.10 1 0
github.com/conneroisu/gpt2/pkg/tiktoken/decode.go:10.48,12.26 2 1
github.com/conneroisu/gpt2/pkg/tiktoken/decode.go:12.26,14.3 1 1
github.com/conneroisu/gpt2/pkg/tiktoken/decode.go:15.2,17.3 1 1
github.com/conneroisu/gpt2/pkg/tiktoken/decode.go:21.49,23.27 2 1
github.com/conneroisu/gpt2/pkg/tiktoken/decode.go:23.27,25.3 1 1
github.com/conneroisu/gpt2/pkg/tiktoken/decode.go:26.2,26.10 1 1
github.com/conneroisu/gpt2/pkg/tiktoken/encode.go:22.75,28.15 4 1
github.com/conneroisu/gpt2/pkg/tiktoken/encode.go:28.15,30.40 2 1
github.com/conneroisu/gpt2/pkg/tiktoken/encode.go:30.40,32.4 1 1
github.com/conneroisu/gpt2/pkg/tiktoken/encode.go:33.3,34.29 2 1
github.com/conneroisu/gpt2/pkg/tiktoken/encode.go:36.2,36.17 1 1
github.com/conneroisu/gpt2/pkg/tiktoken/encode.go:36.17,38.30 2 0
github.com/conneroisu/gpt2/pkg/tiktoken/encode.go:38.30,40.4 1 0
github.com/conneroisu/gpt2/pkg/tiktoken/encode.go:42.2,45.29 2 1
github.com/conneroisu/gpt2/pkg/tiktoken/encode.go:45.29,46.7 1 1
github.com/conneroisu/gpt2/pkg/tiktoken/encode.go:46.7,53.37 3 1
github.com/conneroisu/gpt2/pkg/tiktoken/encode.go:53.37,54.50 1 1
github.com/conneroisu/gpt2/pkg/tiktoken/encode.go:54.50,55.31 1 1
github.com/conneroisu/gpt2/pkg/tiktoken/encode.go:55.31,58.7 2 1
github.com/conneroisu/gpt2/pkg/tiktoken/encode.go:61.4,61.19 1 1
github.com/conneroisu/gpt2/pkg/tiktoken/encode.go:61.19,66.5 2 1
github.com/conneroisu/gpt2/pkg/tiktoken/encode.go:66.10,68.10 1 1
github.com/conneroisu/gpt2/pkg/tiktoken/encode.go:74.3,74.34 1 1
github.com/conneroisu/gpt2/pkg/tiktoken/encode.go:74.34,75.41 1 1
github.com/conneroisu/gpt2/pkg/tiktoken/encode.go:75.41,77.5 1 1
github.com/conneroisu/gpt2/pkg/tiktoken/encode.go:77.10,78.78 1 0
github.com/conneroisu/gpt2/pkg/tiktoken/encode.go:82.2,82.15 1 1
github.com/conneroisu/gpt2/pkg/tiktoken/load.go:15.61,18.21 3 1
github.com/conneroisu/gpt2/pkg/tiktoken/load.go:18.21,20.21 2 1
github.com/conneroisu/gpt2/pkg/tiktoken/load.go:20.21,21.12 1 0
github.com/conneroisu/gpt2/pkg/tiktoken/load.go:24.3,25.22 2 1
github.com/conneroisu/gpt2/pkg/tiktoken/load.go:25.22,27.4 1 0
github.com/conneroisu/gpt2/pkg/tiktoken/load.go:28.3,29.17 2 1
github.com/conneroisu/gpt2/pkg/tiktoken/load.go:29.17,31.4 1 0
github.com/conneroisu/gpt2/pkg/tiktoken/load.go:32.3,33.17 2 1
github.com/conneroisu/gpt2/pkg/tiktoken/load.go:33.17,35.4 1 0
github.com/conneroisu/gpt2/pkg/tiktoken/load.go:36.3,36.28 1 1
github.com/conneroisu/gpt2/pkg/tiktoken/load.go:38.2,38.38 1 1
github.com/conneroisu/gpt2/pkg/tiktoken/load.go:38.38,40.3 1 0
github.com/conneroisu/gpt2/pkg/tiktoken/load.go:42.2,42.19 1 1
github.com/conneroisu/gpt2/pkg/tiktoken/print.go:8.39,9.22 1 1
github.com/conneroisu/gpt2/pkg/tiktoken/print.go:9.22,11.3 1 0
github.com/conneroisu/gpt2/pkg/tiktoken/print.go:12.2,13.26 2 1
github.com/conneroisu/gpt2/pkg/tiktoken/print.go:13.26,15.3 1 1
github.com/conneroisu/gpt2/pkg/tiktoken/print.go:16.2,16.18 1 1
github.com/conneroisu/gpt2/pkg/tiktoken/train.go:16.46,18.23 2 1
github.com/conneroisu/gpt2/pkg/tiktoken/train.go:18.23,20.3 1 1
github.com/conneroisu/gpt2/pkg/tiktoken/train.go:21.2,21.44 1 1
github.com/conneroisu/gpt2/pkg/tiktoken/train.go:29.76,31.21 1 1
github.com/conneroisu/gpt2/pkg/tiktoken/train.go:31.21,32.66 1 0
github.com/conneroisu/gpt2/pkg/tiktoken/train.go:34.2,35.21 2 1
github.com/conneroisu/gpt2/pkg/tiktoken/train.go:35.21,37.3 1 1
github.com/conneroisu/gpt2/pkg/tiktoken/train.go:45.2,48.15 4 1
github.com/conneroisu/gpt2/pkg/tiktoken/train.go:48.15,50.40 2 1
github.com/conneroisu/gpt2/pkg/tiktoken/train.go:50.40,52.4 1 1
github.com/conneroisu/gpt2/pkg/tiktoken/train.go:53.3,54.29 2 1
github.com/conneroisu/gpt2/pkg/tiktoken/train.go:56.2,56.16 1 1
github.com/conneroisu/gpt2/pkg/tiktoken/train.go:56.16,58.30 2 1
github.com/conneroisu/gpt2/pkg/tiktoken/train.go:58.30,60.4 1 1
github.com/conneroisu/gpt2/pkg/tiktoken/train.go:65.2,65.29 1 1
github.com/conneroisu/gpt2/pkg/tiktoken/train.go:65.29,70.30 4 1
github.com/conneroisu/gpt2/pkg/tiktoken/train.go:70.30,71.37 1 1
github.com/conneroisu/gpt2/pkg/tiktoken/train.go:71.37,74.31 3 1
github.com/conneroisu/gpt2/pkg/tiktoken/train.go:74.31,77.6 2 1
github.com/conneroisu/gpt2/pkg/tiktoken/train.go:80.3,80.17 1 1
github.com/conneroisu/gpt2/pkg/tiktoken/train.go:80.17,82.28 2 1
github.com/conneroisu/gpt2/pkg/tiktoken/train.go:82.28,84.5 1 1
github.com/conneroisu/gpt2/pkg/tiktoken/train.go:86.3,86.19 1 1
github.com/conneroisu/gpt2/pkg/tiktoken/train.go:86.19,87.9 1 0
github.com/conneroisu/gpt2/pkg/tiktoken/train.go:91.3,93.30 3 1
github.com/conneroisu/gpt2/pkg/tiktoken/train.go:93.30,98.24 3 1
github.com/conneroisu/gpt2/pkg/tiktoken/train.go:98.24,99.57 1 1
github.com/conneroisu/gpt2/pkg/tiktoken/train.go:99.57,102.6 2 1
github.com/conneroisu/gpt2/pkg/tiktoken/train.go:102.11,105.6 2 1
github.com/conneroisu/gpt2/pkg/tiktoken/train.go:107.4,107.24 1 1
github.com/conneroisu/gpt2/pkg/tiktoken/train.go:107.24,109.5 1 1
github.com/conneroisu/gpt2/pkg/tiktoken/train.go:111.4,111.24 1 1
github.com/conneroisu/gpt2/pkg/tiktoken/train.go:114.3,114.17 1 1
github.com/conneroisu/gpt2/pkg/tiktoken/train.go:114.17,117.31 3 1
github.com/conneroisu/gpt2/pkg/tiktoken/train.go:117.31,119.5 1 1
github.com/conneroisu/gpt2/pkg/tiktoken/train.go:122.2,122.14 1 1
